gx     gy    gz     ax    ay    az
64873  174  64580  62349  32760  56927
64882  178  64577  63666  32760  58938
64866  175  64583  670  32760  61088
64645  150  64594  3535  32760  6179
64820  183  64579  10850  32760  5317
64838  169  64580  11779  31219  2293
64802  182  64589  10832  20243  65401
64886  183  64582  9080  14642  63525
64872  176  64597  8126  7156  62732
64874  179  64594  5127  5395  60115
64898  165  64589  2451  7157  56787
64858  204  64585  571  12540  60581
64828  161  64591  64284  17009  332
64864  167  64570  63610  23255  62613
64887  170  64584  56803  30748  58773
64865  176  64568  53857  29616  58718
64878  173  64573  56898  28730  61809
64869  165  64580  58744  31791  60284
64871  170  64581  57309  32729  60174
64877  169  64586  55917  31618  59348
64866  168  64575  57673  24286  62742
64880  171  64576  57494  15104  1451
64894  175  64585  58978  5844  65337
64887  178  64591  53350  63654  1911
64887  184  64592  53310  59334  1448
64891  169  64575  54033  58323  2816
64881  178  64587  56709  60652  3113
64867  180  64583  58429  62769  2220
64878  160  64583  58317  62470  1737
64887  159  64586  56150  64075  65153
64885  163  64585  53976  8595  63180
64897  175  64575  54536  22464  62606
64870  167  64577  58191  29748  62107
64881  161  64588  62489  32760  57359
64873  178  64577  62052  32760  55166
64875  165  64579  56395  32760  56346
64878  168  64587  54945  32760  58087
64904  247  64603  56356  32760  57854
64848  204  64574  5276  32760  60221
64701  104  64575  14473  32207  1574
64841  238  64598  9770  21547  2855
64894  215  64584  8973  11955  1911
64914  138  64593  8070  6234  63962
64861  170  64572  7134  6350  63109
64879  188  64581  9039  7608  62812
64850  167  64579  8174  12895  64299
64886  201  64593  5133  17719  115
64547  224  64580  88  25940  59772
64791  268  64600  56409  31395  53579
64842  169  64585  57448  30512  60641
64888  247  64575  57566  32760  59945
64881  167  64575  54099  32760  58955
64876  174  64583  53389  32760  59572
64877  175  64582  53217  31357  59899
64880  173  64584  55645  24330  61414
64870  183  64586  57704  17725  62038
64881  172  64581  58720  10937  61745
64890  170  64584  60304  5281  62459
64872  174  64584  60556  65075  307
64885  156  64579  59927  62732  3133
64880  179  64584  58691  63911  3509
64876  171  64580  59090  64808  4154
64878  167  64575  60213  303  2646
64875  177  64586  58675  3255  2048
64887  170  64574  55391  8739  3617
64857  168  64576  50765  12432  3398
64850  162  64590  50015  16977  1405
